# num_simulated_annealing 30
78 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
79 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
80 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
81 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
82 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
83 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
84 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
85 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
86 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
87 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
88 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
89 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
90 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
91 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
92 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
93 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
94 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
95 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
96 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
97 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
98 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
99 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
